Name,UnitPrice,RefUnitPrice,GapRate,GapRateSqrt,MinArea,MinTotal,NoOfApts,Ratio,PoolSize,Transportation,MiscFactor,Multiplier,RawScore,Month50Base,,Predicted score,,,,,,,,,,楼盘名,Column2,实际开盘分数,Column3,Column4,预测分数
奥园金地格林云尚,35471,35471,0,0,62,219.9202,251,1.8,451.8,0,1,0.1,,0,0,50.00,,,,,,,,,,,,,,,
融信海纳印象,59000,59000,0,0,104,613.6,208,1.3,270.4,1,0,0.11,64.19,129,129.5197473,64.25,,,,,,,,,,,,,,,
金地嘉悦湾,43706,43706,0,0,88,384.6128,357,1.3,464.1,0,0,0.1,55.9,59,38.2427224,53.82,,,,,,,,,,,,,,,
金地峯范,51261,51261,0,0,136,697.1496,85,1.3,110.5,0,0,0.13,59.51,73.15384615,33.92941981,54.41,,,,,,,,,,,,,,,
春申阳光,32500,32500,0,0,55,178.75,259,1.3,336.7,0,1,0.1,0,0,3.65521803,50.37,,,,,,,,,,,,,,,
禹州天境铂悦,34055,34055,0,0,55,187.3025,289,1.3,375.7,0,1,0.1,,0,1.542022952,50.15,,,,,,,,,,,,,,,
中海戈雅园,27458,27458,0,0,82,225.1556,324,1.3,421.2,0,1,0.1,,0,0,50.00,,,,,,,,,,,,,,,
正阳柏谭湾,48750,48750,0,0,176,858,80,1.3,104,0,1,0.1,,0,7.85626257,50.79,,,,,,,,,,,,,,,
中凯曼荼园,110000,110000,0,0,317,3487,32,1.3,41.6,0,1,0.1,,0,0,50.00,,,,,,,,,,,,,,,
洋江唐顿公馆,50400,50400,0,0,93,468.72,216,1.3,280.8,1,1,0.11,0,0,87.11143586,59.58,,,,,,,,,,,,,,,
同济晶萃,48024,48024,0,0,91,437.0184,400,1.3,520,0,0,0.1,58,80,34.75159832,53.48,,,,,,,,,,,,,,,
佘山玺越,55730,55730,0,0,90,501.57,221,1.3,287.3,0,1,0.1,0,0,2.490595035,50.25,,,,,,,,,,,,,,,
金地丰盛道,52357,52357,0,0,99,518.3343,284,1.3,369.2,0,1,0.11,0,0,0,50.00,,,,,,,,,,,,,,,
中海阅麓山,41687,41687,0,0,70,291.809,354,1.3,460.2,0,1,0.1,,0,0,50.00,,,,,,,,,,,,,,,
复地湖畔和光,20688,20688,0,0,75,155.16,340,1.3,442,0,1,0.1,,0,0,50.00,,,,,,,,,,,,,,,
碧桂园凤凰城,27300,27300,0,0,95,259.35,324,1.3,421.2,0,1,0.1,0,0,0,50.00,,,,,,,,,,,,,,,
御品园林,80747,80747,0,0,238,1921.7786,74,1.3,96.2,0,1,0.1,0,0,0,50.00,,,,,,,,,,,,,,,
盛青云驰,43895,43895,0,0,80,351.16,352,1.3,457.6,1,0,0.1,59,90,129.1978257,62.92,,,,,,,,,,,,,,,
